unit,time,outcome,cov_gdp,cov_unemp,treated
u0,0,5.423187099652592,1.465728548347323,50.54152562158764,0
u0,1,6.109475115794547,1.4297722730778382,50.72690102601745,0
u0,2,5.4125135591093745,1.5038714288333992,49.71116531602145,0
u0,3,5.478126423092521,1.570405085681454,50.13108748004244,0
u0,4,6.3164313682013145,1.7286185901210531,51.05751763360433,0
u0,5,5.7261469801201414,1.567457781283184,51.256892975456104,0
u0,6,4.8563097795645,1.5857550390722766,51.45752384315303,0
u0,7,5.110944351313246,1.5625554084233833,53.32636574532736,0
u0,8,4.423560138210101,1.3881228784700959,51.88544525534658,0
u0,9,4.3540341667117115,1.5873486124550784,52.3677828200903,0
u0,10,4.7734848343759255,1.6060230209941027,52.4770008817466,0
u0,11,3.877493635144517,1.8563242112485288,52.5256956256529,0
u0,12,4.220292198205188,1.600763903521888,52.242365377679825,0
u0,13,5.050224706829506,1.6601547342333611,52.97948461024664,0
u0,14,5.006582970163287,1.6365288230294759,52.41358739273121,0
u0,15,5.7357268517242055,1.5331321962380466,52.88159069663,0
u0,16,5.0562212065464704,1.774282281451502,52.95731822608545,0
u0,17,4.619686048735499,1.7451933032686773,53.44093706969316,0
u0,18,5.80727964085221,1.7591031947043045,54.75732928333676,0
u0,19,4.7101844631364544,1.599061254520526,52.866367403704125,0
u0,20,4.672441370819753,1.84027943109361,54.343130095187256,0
u0,21,3.85793323424957,1.5698148937207719,53.39364206440518,0
u0,22,4.363720620189776,1.778685709380027,54.164034067105284,0
u0,23,4.873003336187806,1.949045562580998,55.144475298483684,0
u0,24,4.490662609610011,1.6409463674869311,54.83214000954773,0
u0,25,5.5026257644822865,1.6933702270397228,54.461127611035344,0
u0,26,5.196087469230556,1.769965136508764,54.84234814537002,0
u0,27,5.416164594389389,1.7196524345883801,55.73979887446734,0
u0,28,5.192788222051837,1.6249336568933868,55.234816684141435,0
u0,29,6.235385275517072,1.7968562974806028,55.908229294790985,0
u0,30,5.051114927881925,1.6937696286273896,56.02278591995191,0
u0,31,4.27762543276123,1.8573592430635182,55.87419982619709,0
u0,32,5.033358008386843,1.7280575765766197,57.471972044662664,0
u0,33,3.9432937862302446,1.984993440501754,56.91695951115901,0
u0,34,4.723752063814203,1.7616746707663764,55.78742870667119,0
u0,35,3.821115263252444,1.8177938483794325,57.09322715738471,0
u0,36,4.385474657731405,1.941351721736967,56.86910676761581,0
u0,37,5.396615657103469,1.7469135683566046,57.82621666739811,0
u0,38,5.8490483880471205,1.9027459934604127,57.20373963078365,0
u0,39,5.63110389374047,2.020714275428243,57.742631779266546,0
u0,40,5.419225670831872,1.7392516765438772,58.252493639490226,0
u0,41,5.142102619327418,1.9284633858532305,58.63287759708506,0
u0,42,4.302010828926635,1.9459882794248422,57.79985179647211,0
u0,43,4.429967076901284,2.008182287177731,58.43274938207953,0
u0,44,4.3751744507148125,1.8163049289121918,58.56252734441952,0
u0,45,5.065685008184671,1.8179543386915724,58.673335383713145,0
u0,46,4.774537694955512,2.01219415656169,60.082727120140554,0
u0,47,3.9028385313704224,1.9996984673233187,59.602490855480475,0
u0,48,5.1950179507374745,2.0050492850345876,58.96955802283248,0
u0,49,5.089052182820207,2.0246448209496974,60.258930973527384,0
u0,50,5.124762381755894,1.9319975278421508,61.061078098506314,0
u0,51,5.834666181425376,2.0332253697161002,60.71623263027558,0
u0,52,5.975957857133425,2.0493072473298684,59.64031501702299,0
u0,53,5.741702810539618,1.9585648581973634,60.35788296356687,0
u0,54,4.605071346358488,2.226577451114476,61.43345557459331,0
u0,55,4.618691277032487,2.0973832920911786,60.64616526719061,0
u0,56,4.754533835755947,1.9408696502797351,61.42190971407312,0
u0,57,5.008304742495851,2.1356553608633835,61.78731702671467,0
u0,58,4.346549715108095,1.9825318329772679,61.13653476421096,0
u0,59,4.67493740457934,2.168708460374245,61.7702373219691,0
u0,60,6.963216762896519,2.2158595579007403,60.379366329965464,1
u0,61,7.216898294847488,2.027931768164829,61.68780617933286,1
u0,62,8.45289457696543,2.2163376129244323,62.27371592430342,1
u0,63,8.840356335149812,2.1712780926936497,61.97610840901758,1
u0,64,8.107861318954743,2.2222060159994492,63.616205651965814,1
u0,65,8.511237483786989,2.339679298265395,62.28492931101968,1
u0,66,7.988906404353081,2.135461188399713,62.97997775665151,1
u0,67,7.284145871514992,2.094626383564251,63.465370288643044,1
u0,68,7.6530082066678276,2.091048557037448,64.32063664453305,1
u0,69,8.222958746027114,2.1084189715034563,63.08206892441028,1
u0,70,7.551632098335222,2.19228982905859,64.58158187607748,1
u0,71,8.58349700467771,2.244115197481664,64.2051165305098,1
u0,72,6.789919981714121,2.2476690799330017,63.90924567447603,1
u0,73,8.809361142934891,2.3127183249036025,64.83105173713163,1
u0,74,8.673563483746875,2.241300189187791,64.89952984778674,1
